# Capture Picture flow, flash selection check: app dev after #263 (branch feat/light-sensor-readings b9f2ba56), firmware ae_review ee65771f
# Started 2026-09-03 12:21:41. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to the lines that carry the story: app writes and receipts, nRF relay, Himax capture, flash, light, sleep and transfer markers. Hex dumps and per-packet chatter removed.
[14:43.687] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[14:43.687] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[14:43.687] himax | MKL62BA command received: 'slots'
[14:44.209] app   | Written AI switchslot to the device WILD-CNKW (12:36:26-013)
[14:44.594] himax | MKL62BA command received: 'switchslot'
[14:44.594] nrf   | BLE in: Received  13 bytes 'AI switchslot'
[14:44.594] nrf   | BLE out: Sent  58 bytes: 'Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.'
[14:47.633] himax | Inactive for 3000ms
[14:47.633] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[14:47.633] himax |  No LED flashes.
[14:47.633] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[14:47.936] himax | DEBUG: ledFlashSelectLED(0)
[14:49.886] app   | Written AI slots to the device WILD-CNKW (12:36:31-690)
[14:50.076] nrf   | BLE in: Received   8 bytes 'AI slots'
[14:50.076] nrf   | <info> app: AI processor is in DPD. Waking it. (slots)
[14:51.283] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[14:51.283] himax | DEBUG: ledFlashSelectLED(2)
[14:51.283] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 1
[14:51.585] himax |   Flash LED(s) in use: 2
[14:51.585] himax | MKL62BA command received: 'selftest'
[14:51.585] himax | selfTest 0000
[14:51.888] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[14:51.888] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[14:51.888] himax | MKL62BA command received: 'slots'
[14:51.888] nrf   | BLE out: Sent   5 bytes: 'Wake'
[14:51.888] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[14:52.378] app   | Written AI getop -1 to the device WILD-CNKW (12:36:34-182)
[14:52.793] himax | MKL62BA command received: 'getop -1'
