# Final Capture Picture matrix before commit: flash Off/White/IR, both cameras, repeated captures, leave and re-enter. App feat/capture-keep-awake (tidied, uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 16:26:53. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# The ten-step matrix: flash Off/White/White/IR on Black & White, switch to Colour, White and Off on Colour, leave, re-enter (hung: the transport's sleep pause), capture. Filtered to app writes and hook logs, slot replies, and the Himax wake, flash, light, capture, sleep, reset and transfer markers.
[08:30.938] nrf   | <info> app: AI processor replies: 'Set OpParam 13 = 2'
[08:30.938] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 13 = 2'
[08:30.954] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 13 = 2
[08:30.986] himax | Set OpParam 13 = 2
[08:30.986] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 13 = 2'
[08:30.986] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[08:31.222] app   | Written AI setop 25 1 to the device WILD-CNKW (16:35:25-341)
[08:31.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 25 = 1
[08:31.557] nrf   | <info> app: AI processor replies: 'Set OpParam 25 = 1'
[08:31.557] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 25 = 1'
[08:31.591] himax | Set OpParam 25 = 1
[08:31.591] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 25 = 1'
[08:31.591] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[08:34.655] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:34.655] app   | [BleSession] SLEEP signal detected  proceeding.
[08:34.671] himax | Inactive for 3000ms
[08:34.671] himax |  No LED flashes.
[08:34.671] himax | >>> Entering DPD at 2024:01:01 02:07:53
[08:34.908] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[08:34.908] app   | [useCapturePreview] Phase 1: Setup  checking device state
[08:34.908] app   | [useCapturePreview] Phase 1 complete  waiting for device to sleep
[08:34.908] app   | [BleSession] Device already asleep  proceeding immediately.
[08:34.908] app   | [useCapturePreview] Phase 2: Capture  sending AI capture 1 500
[08:35.091] app   | Written AI capture 1 500 to the device WILD-CNKW (16:35:29-213)
[08:35.282] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[08:35.589] himax | DEBUG: ledFlashSelectLED(2)
[08:35.637] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:35.890] himax | Image capture 1/1 took 62ms
[08:35.890] himax | [LS] AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[08:35.890] himax | Sending 58 bytes: Header 4, payload 52, checksum 2 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[08:36.055] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 5921E7A0.JPG (File write 45ms avg.)'
